time,min(pollutant_grid collect each.pollutantworld.pollutentIndex(name:'co2')),mean(pollutant_grid collect each.pollutantworld.pollutentIndex(name:'co2')),max(pollutant_grid collect each.pollutantworld.pollutentIndex(name:'co2'))
2750.0,0.0,16167.081904761877,1017178.1600000025
2775.0,0.0,16349.569581970161,1027679.6600000026
2800.0,0.0,16526.55119229371,1040177.3000000027
2825.0,0.0,16701.079694656506,1050341.7800000028
2850.0,0.0,16875.69076335878,1056715.660000003
2875.0,0.0,17051.189305707034,1069501.4800000028
2900.0,0.0,17227.7048782261,1082149.8400000029
2925.0,0.0,17409.21490367135,1091921.9600000035
2950.0,0.0,17594.060530716073,1098652.9400000034
2975.0,0.0,17779.099829152972,1105169.1400000034
3000.0,0.0,17967.02928026168,1120151.5000000035
3025.0,0.0,18155.206354053014,1128177.8600000036
3050.0,0.0,18345.17274082146,1140130.3800000034
3075.0,0.0,18535.17834605594,1156735.7400000035
3100.0,0.0,18721.19720465283,1169226.080000003
3125.0,0.0,18900.289211195915,1174738.4400000034
3150.0,0.0,19077.463678662316,1192686.9400000034
3175.0,0.0,19250.698440567045,1196828.0000000035
3200.0,0.0,19421.513387858933,1211710.7800000038
3225.0,0.0,19591.12251908396,1215025.7800000038
3250.0,0.0,19762.454729189394,1224097.6800000037
3275.0,0.0,19933.277826245005,1236032.4200000037
3300.0,0.0,20104.025005452553,1242197.4400000034
3325.0,0.0,20276.040890585264,1248625.0600000033
3350.0,0.0,20445.474242093802,1259472.7200000035
3375.0,0.0,20615.233315158148,1264183.1800000032
3400.0,0.0,20786.811904761915,1287346.9200000027
3425.0,0.0,20957.521254089435,1290562.6400000027
3450.0,0.0,21128.530381679368,1299635.280000003
3475.0,0.0,21299.97654307524,1316824.520000003
3500.0,0.0,21475.64423118866,1324826.8400000029
3525.0,0.0,21653.575023627778,1334703.1200000031
3550.0,0.0,21834.195150854222,1346034.9400000025
3575.0,0.0,22010.42745910577,1353580.1000000024
3600.0,0.0,22188.992864412936,1364361.7600000023
3625.0,0.0,22367.801054162133,1373568.1200000027
3650.0,0.0,22543.309963649597,1385658.5000000023
3675.0,0.0,22719.845045438033,1389592.780000002
3700.0,0.0,22892.679989094897,1410383.080000002
3725.0,0.0,23064.97755361688,1418207.940000002
3750.0,0.0,23238.889193020772,1423414.380000002
3775.0,0.0,23414.803987640877,1440005.7200000016
3800.0,0.0,23589.94748455109,1446178.0800000017
3825.0,0.0,23765.600141766656,1456078.1600000018
3850.0,0.0,23938.3124754635,1458837.560000002
3875.0,0.0,24108.28691748458,1462291.8400000017
3900.0,0.0,24279.858687749962,1477775.0600000017
3925.0,0.0,24451.882362777207,1486785.0200000012
3950.0,0.0,24622.915470738015,1499984.6400000008
3975.0,0.0,24792.474776445048,1520170.4600000004
4000.0,0.0,24957.18569974565,1527310.1000000003
4025.0,0.0,25124.98478735023,1537008.2400000002
4050.0,0.0,25297.18218829528,1543147.4400000002
4075.0,0.0,25468.206626681324,1553468.6
4100.0,0.0,25635.67657215564,1563087.9600000004
4125.0,0.0,25805.696561250348,1578202.0600000005
4150.0,0.0,25976.372886223122,1585040.2000000004
4175.0,0.0,26144.08581606678,1591290.5000000005
4200.0,0.0,26306.025023627688,1605432.6000000003
4225.0,0.0,26464.838840421566,1618883.14
4250.0,0.0,26625.09916030524,1626203.6199999996
4275.0,0.0,26787.065714285563,1638449.88
4300.0,0.0,26951.41221737537,1644358.12
4325.0,0.0,27117.804183933007,1649340.4
4350.0,0.0,27283.604925481548,1656927.48
4375.0,0.0,27448.933565975905,1666960.0199999996
4400.0,0.0,27614.776663031553,1678727.0199999989
4425.0,0.0,27782.351490367077,1686169.619999999
4450.0,0.0,27953.267517266362,1699509.0799999994
4475.0,0.0,28126.645917847964,1705649.7599999988
4500.0,0.0,28303.543238822167,1716556.4399999992
4525.0,0.0,28478.401286804707,1723731.419999999
